Designator,Footprint,Quantity,Value,LCSC Part #
C100,1206,1,1uF,C1848
"C101, C107, C200, C201, C203, C204, C300, C301",0603,8,0.1uF,C14663
C102,VKMI1701H102MV,1,1mF/50V,C487374
"C103, C104",1206,2,22uF,C342620
"C105, C106",0805,2,10uF,C440198
"C108, C109, C202",0603,3,22uF,C86295
D100,D_SMB,1,SMBJ28CA-13-F,C135064
D101,0603,1,19-21/GHC-YR1S2/4T,C2986048
"D102, D200",D_SOD-128,2,"PMEG3030EP,115",C255587
"D300, D301",D_SMA,2,SMAJ30CA,C83322
IC100,AP63203WU7,1,AP63203WU-7,C780769
IC300,WIZ850IO,1,WIZ850IO,
J100,2604-3102,1,2604-3102,
J200,MOLEX_2171790001,1,2171790001,C3197684
"J201, J301, J302",2086-1104-THT,3,2086-1104,
J300,PinHeader_1x02_P2.54mm_Vertical,1,jumper,C492401
L100,MDA5030-4R7M,1,4.7uH,C2847477
L101,L_Sunlord_SWPA4030S,1,3.9uH,C96899
PS100,R-78K12-2_0,1,R-78K12-2.0,
Q100,CSD19537Q3,1,CSD19537Q3,C478469
Q101,SOT-23,1,BSS138,C40912
R100,0805,1,825K,C49010125
R101,0603,1,31.6K,C25967
R102,0603,1,34K,C23008
R103,0603,1,9.1K,C23260
"R104, R200, R300, R301",0603,4,10K,C25804
R105,0603,1,2.2K,C4190
"R201, R202",0603,2,5.1K,C23186
R302,0603,1,120,C22787
"S200, S201",TS-1187A-B-A-B,2,TS-1187A-B-A-B,C318884
"TP100, TP101, TP102, TP103, TP104",TestPoint_Pad_D2.0mm,5,TestPoint,
U100,HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3.4x6.5mm_Mask2.96x2.96mm_ThermalVias,1,TPS26631PWP,C2832195
U200,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913202
U201,SOT-23-6,1,USBLC6-2SC6,
U300,VSON10_DRC_TEX,1,THVD2450VDRCR,C5960705
