Designator,Mid X,Mid Y,Rotation,Layer
C100,120.5738,-69.0372,0,top
C101,125.9332,-80.0608,180,top
C102,140.9602,-63.4066,270,top
C103,152.0444,-65.786,90,top
C104,155.1432,-59.9694,180,top
C105,173.609,-58.1406,180,top
C106,173.609,-55.7276,180,top
C107,179.1981,-64.0323,90,top
C108,177.7249,-70.2056,0,top
C109,177.6995,-72.009,0,top
C200,181.6134,-140.6444,0,top
C201,146.6568,-129.9002,90,top
C202,172.5212,-145.8303,270,top
C203,170.6162,-145.8314,270,top
C204,186.6138,-133.7045,270,top
C300,138.9634,-143.8656,0,top
C301,183.0832,-107.95,180,top
D100,112.141,-61.595,270,top
D101,106.4514,-78.6383,270,top
D102,170.5864,-50.4444,180,top
D200,181.3052,-113.6396,0,top
D300,118.305201,-129.726999,270,top
D301,118.305201,-137.245399,90,top
IC100,175.7031,-61.8558,180,top
IC300,186.8972,-94.1832,270,top
J100,121.5244,-57.846399,180,top
J200,192.2232,-130.0172,90,top
J201,190.5186,-115.399999,90,top
J300,128.2954,-143.2814,0,top
J301,111.8802,-129.1362,270,top
J302,111.8802,-111.617998,270,top
L100,156.6164,-65.0748,90,top
L101,175.6675,-66.7752,270,top
PS100,160.8074,-50.3662,0,top
Q100,120.4594,-72.812,270,top
Q101,115.6993,-72.7608,0,top
R100,117.221,-78.9686,270,top
R101,119.4816,-78.9564,270,top
R102,121.4882,-78.9686,270,top
R103,130.0358,-80.0608,180,top
R104,156.273,-125.8062,0,top
R105,108.3056,-78.5876,270,top
R200,181.5891,-138.8918,180,top
R201,190.2206,-136.525,180,top
R202,186.7408,-126.9238,90,top
R300,143.3068,-142.9766,90,top
R301,148.2388,-145.6028,270,top
R302,124.1044,-143.129,90,top
S200,181.3532,-144.5814,180,top
S201,141.7546,-129.9764,0,top
U100,128.0114,-75.498,270,top
U200,159.5374,-141.2526,180,top
U201,182.9363,-130.0328,90,top
U300,139.6238,-141.0462,180,top
